frame_id,time_ms,brow_head_l,brow_head_r,eyelid_open_l,eyelid_open_r,eye_h_attention_l,eye_h_attention_r,eye_v_attention_l,eye_v_attention_r,mouth_open,mouth_up_corner_l,mouth_up_corner_r,mouth_lip_upper_l,mouth_lip_upper_r,mouth_lip_lower,cheek_l,cheek_r
0,0,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
1,40,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2,80,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
3,120,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.14,0.045,0.045,0.0675,0.0675,0.14,0.1,0.0
4,160,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.28,0.05625,0.05625,0.084375,0.084375,0.215,0.1,0.0
5,200,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.19,0.179063,0.179063,0.051094,0.051094,0.09875,0.1,0.0
6,240,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.33,0.089766,0.089766,0.080273,0.080273,0.204687,0.1,0.0
7,280,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2025,0.187441,0.187441,0.050068,0.050068,0.096172,0.1,0.0
8,320,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.185625,0.10686,0.10686,0.042517,0.042517,0.099043,0.1,0.0
9,360,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.166406,0.191715,0.191715,0.040629,0.040629,0.069761,0.1,0.0
10,400,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.161602,0.051715,0.051715,0.047657,0.047657,0.10744,0.1,0.0
11,440,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1604,0.177929,0.177929,0.041914,0.041914,0.07186,0.1,0.0
12,480,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1751,0.104482,0.104482,0.040479,0.040479,0.092965,0.1,0.0
13,520,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.163775,0.191121,0.191121,0.04012,0.04012,0.068241,0.1,0.0
14,560,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.160944,0.21278,0.21278,0.04003,0.04003,0.06206,0.1,0.0
15,600,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.175236,0.113195,0.113195,0.040007,0.040007,0.090515,0.1,0.0
16,640,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.163809,0.193299,0.193299,0.040002,0.040002,0.067629,0.1,0.0
17,680,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.303809,0.093325,0.093325,0.0775,0.0775,0.196907,0.1,0.0
18,720,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.334702,0.057081,0.057081,0.07,0.07,0.184227,0.1,0.0
19,760,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.256176,0.03677,0.03677,0.05125,0.05125,0.136057,0.1,0.0
20,800,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.150294,0.020443,0.020443,0.029688,0.029688,0.079014,0.1,0.0
21,840,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.037573,0.005111,0.005111,0.007422,0.007422,0.019754,0.1,0.0
22,880,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.009393,0.001278,0.001278,0.001855,0.001855,0.004938,0.1,0.0
23,920,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.002348,0.000319,0.000319,0.000464,0.000464,0.001235,0.1,0.0
24,960,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.000587,8e-05,8e-05,0.000116,0.000116,0.000309,0.1,0.0
25,1000,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.000147,2e-05,2e-05,2.9e-05,2.9e-05,7.7e-05,0.1,0.0
26,1040,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.7e-05,5e-06,5e-06,7e-06,7e-06,1.9e-05,0.1,0.0
27,1080,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,9e-06,1e-06,1e-06,2e-06,2e-06,5e-06,0.1,0.0
28,1120,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2e-06,0.0,0.0,0.0,0.0,1e-06,0.1,0.0
29,1160,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.1,0.0
30,1200,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.12,0.14,0.14,0.03,0.03,0.045,0.1,0.0
