frame_id,time_ms,syllable,start_v,end_v,alpha,mouth_open,corner_l,corner_r,upper_lip_l,upper_lip_r,lower_lip
61,2440,zhe,2,4,1.0,0.18,0.08,0.08,0.04,0.04,0.1
62,2480,zhang,2,7,1.0,0.46,0.06,0.06,0.09,0.09,0.24
63,2520,dong,2,6,1.0,0.3,-0.16,-0.16,0.07,0.07,0.18
64,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
65,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
66,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
67,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
68,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
69,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
70,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
71,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
72,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
73,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
74,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
75,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
76,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
77,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
78,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
79,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
80,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
81,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
82,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
83,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
84,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
85,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
86,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
