paragraph_id,phrase_idx,syllable_idx,global_syllable_idx,syllable,start_viseme,end_viseme,start_frame,end_frame,num_frames
P001,0,0,0,xiang,5,7,3,3,1
P001,0,1,1,xiang,5,7,4,4,1
P001,0,2,2,yi,5,5,5,5,1
P001,0,3,3,xia,5,7,6,6,1
P001,1,0,4,ni,2,5,7,7,1
P001,1,1,5,zheng,2,4,8,8,1
P001,1,2,6,zai,5,5,9,9,1
P001,1,3,7,yu,5,3,10,10,1
P001,1,4,8,yi,5,5,11,11,1
P001,1,5,9,ge,4,4,12,12,1
P001,1,6,10,ji,5,5,13,13,1
P001,1,7,11,qi,5,5,14,14,1
P001,1,8,12,ren,2,4,15,15,1
P001,1,9,13,dui,2,5,16,16,1
P001,1,10,14,hua,4,7,17,17,1
P001,2,0,15,zhe,2,4,18,18,1
P001,2,1,16,ge,4,4,19,19,1
P001,2,2,17,ji,5,5,20,20,1
P001,2,3,18,qi,5,5,21,21,1
P001,2,4,19,ren,2,4,22,22,1
P001,2,5,20,neng,2,4,23,23,1
P001,2,6,21,gou,4,6,24,24,1
P001,2,7,22,gen,4,4,25,25,1
P001,2,8,23,ju,5,3,26,26,1
P001,2,9,24,ni,2,5,27,27,1
P001,2,10,25,shuo,2,6,28,28,1
P001,2,11,26,de,2,4,29,29,1
P001,2,12,27,nei,2,5,30,30,1
P001,2,13,28,rong,2,6,31,31,1
P001,2,14,29,he,4,4,32,32,1
P001,2,15,30,shuo,2,6,33,33,1
P001,2,16,31,hua,4,7,34,34,1
P001,2,17,32,shi,2,5,35,35,1
P001,2,18,33,de,2,4,36,36,1
P001,2,19,34,qing,5,4,37,37,1
P001,2,20,35,gan,4,7,38,38,1
P001,2,21,36,bian,0,7,39,39,1
P001,2,22,37,hua,4,7,40,40,1
P001,3,0,38,shi,2,5,41,41,1
P001,3,1,39,shi,2,5,42,42,1
P001,3,2,40,di,2,5,43,43,1
P001,3,3,41,zhan,2,7,44,44,1
P001,3,4,42,shi,2,5,45,45,1
P001,3,5,43,chu,2,3,46,46,1
P001,3,6,44,xiang,5,7,47,47,1
P001,3,7,45,ying,5,4,48,48,1
P001,3,8,46,de,2,4,49,49,1
P001,3,9,47,mian,0,7,50,50,1
P001,3,10,48,bu,0,3,51,51,1
P001,3,11,49,biao,0,6,52,52,1
P001,3,12,50,qing,5,4,53,53,1
P001,4,0,51,bi,0,5,54,54,1
P001,4,1,52,ru,2,3,55,55,1
P001,4,2,53,wei,3,5,56,56,1
P001,4,3,54,xiao,5,6,57,57,1
P001,4,4,55,zhou,2,6,58,58,1
P001,4,5,56,mei,0,5,59,59,1
P001,4,6,57,huo,4,6,60,60,1
P001,4,7,58,zhe,2,4,61,61,1
P001,4,8,59,zhang,2,7,62,62,1
P001,4,9,60,zui,5,5,63,63,1
P001,5,0,61,zhe,2,4,63,63,1
P001,5,1,62,jiang,5,7,63,63,1
P001,5,2,63,shi,2,5,63,63,1
P001,5,3,64,de,2,4,63,63,1
P001,5,4,65,ren,2,4,63,63,1
P001,5,5,66,yu,5,3,63,63,1
P001,5,6,67,ji,5,5,63,63,1
P001,5,7,68,qi,5,5,63,63,1
P001,5,8,69,ren,2,4,63,63,1
P001,5,9,70,de,2,4,63,63,1
P001,5,10,71,hu,4,3,63,63,1
P001,5,11,72,dong,2,6,63,63,1
P001,5,12,73,geng,4,4,63,63,1
P001,5,13,74,jia,5,7,63,63,1
P001,5,14,75,zi,5,5,63,63,1
P001,5,15,76,ran,2,7,63,63,1
P001,5,16,77,he,4,4,63,63,1
P001,5,17,78,zhen,2,4,63,63,1
P001,5,18,79,shi,2,5,63,63,1
P001,6,0,80,zong,5,6,63,63,1
P001,6,1,81,de,2,4,63,63,1
P001,6,2,82,lai,2,5,63,63,1
P001,6,3,83,shuo,2,6,63,63,1
P001,7,0,84,zhe,2,4,63,63,1
P001,7,1,85,pian,0,7,63,63,1
P001,7,2,86,lun,2,3,63,63,1
P001,7,3,87,wen,3,4,63,63,1
P001,7,4,88,ti,2,5,63,63,1
P001,7,5,89,chu,2,3,63,63,1
P001,7,6,90,de,2,4,63,63,1
P001,7,7,91,ji,5,5,63,63,1
P001,7,8,92,shu,2,3,63,63,1
P001,7,9,93,wei,3,5,63,63,1
P001,7,10,94,fang,1,7,63,63,1
P001,7,11,95,zhen,2,4,63,63,1
P001,7,12,96,ji,5,5,63,63,1
P001,7,13,97,qi,5,5,63,63,1
P001,7,14,98,ren,2,4,63,63,1
P001,7,15,99,de,2,4,63,63,1
P001,7,16,100,mian,0,7,63,63,1
P001,7,17,101,bu,0,3,63,63,1
P001,7,18,102,biao,0,6,63,63,1
P001,7,19,103,qing,5,4,63,63,1
P001,7,20,104,sheng,2,4,63,63,1
P001,7,21,105,cheng,2,4,63,63,1
P001,7,22,106,ti,2,5,63,63,1
P001,7,23,107,gong,4,6,63,63,1
P001,7,24,108,le,2,4,63,63,1
P001,7,25,109,yi,5,5,63,63,1
P001,7,26,110,zhong,2,6,63,63,1
P001,7,27,111,xin,5,5,63,63,1
P001,7,28,112,de,2,4,63,63,1
P001,7,29,113,fang,1,7,63,63,1
P001,7,30,114,fa,1,7,63,63,1
P001,8,0,115,shi,2,5,63,63,1
P001,8,1,116,de,2,4,63,63,1
P001,8,2,117,ji,5,5,63,63,1
P001,8,3,118,qi,5,5,63,63,1
P001,8,4,119,ren,2,4,63,63,1
P001,8,5,120,neng,2,4,63,63,1
P001,8,6,121,gou,4,6,63,63,1
P001,8,7,122,geng,4,4,63,63,1
P001,8,8,123,jia,5,7,63,63,1
P001,8,9,124,zi,5,5,63,63,1
P001,8,10,125,ran,2,7,63,63,1
P001,8,11,126,di,2,5,63,63,1
P001,8,12,127,yu,5,3,63,63,1
P001,8,13,128,ren,2,4,63,63,1
P001,8,14,129,lei,2,5,63,63,1
P001,8,15,130,jin,5,5,63,63,1
P001,8,16,131,xing,5,4,63,63,1
P001,8,17,132,jiao,5,6,63,63,1
P001,8,18,133,liu,2,2,63,63,1
P001,8,19,134,he,4,4,63,63,1
P001,8,20,135,hu,4,3,63,63,1
P001,8,21,136,dong,2,6,63,63,1
