paragraph_id,phrase_idx,syllable_idx,global_syllable_idx,syllable,phone,phone_role,viseme_id,start_frame,end_frame,start_time_ms,end_time_ms,dominance,motion_profile
P002,2,10,37,za,a,final,7,235,238,9400,9520,0.82,vowel_hold
P002,2,11,38,xing,x,initial,5,239,239,9560,9560,0.72,soft_consonant
P002,2,11,38,xing,ing,final,4,240,243,9600,9720,0.82,vowel_hold
P002,2,12,39,yi,i,final,5,244,248,9760,9920,0.82,vowel_hold
P002,2,13,40,ji,i,final,5,249,253,9960,10120,0.82,vowel_hold
P002,2,14,41,dui,d,initial,2,254,254,10160,10160,0.62,soft_consonant
P002,2,14,41,dui,ui,final,5,255,258,10200,10320,0.82,vowel_hold
P002,2,15,42,xiang,x,initial,5,259,259,10360,10360,0.72,soft_consonant
P002,2,15,42,xiang,iang,final,7,260,263,10400,10520,0.82,vowel_hold
P002,2,16,43,ying,y,initial,5,264,264,10560,10560,0.72,soft_consonant
P002,2,16,43,ying,ing,final,4,265,268,10600,10720,0.82,vowel_hold
P002,2,17,44,shi,sh,initial,2,269,269,10760,10760,0.62,soft_consonant
P002,2,17,44,shi,i,final,5,270,273,10800,10920,0.82,vowel_hold
P002,2,18,45,yun,y,initial,5,274,274,10960,10960,0.72,soft_consonant
P002,2,18,45,yun,un,final,3,275,278,11000,11120,0.72,vowel_hold
P002,2,19,46,dong,d,initial,2,279,279,11160,11160,0.62,soft_consonant
P002,2,19,46,dong,ong,final,6,280,283,11200,11320,0.82,vowel_hold
P002,2,20,47,he,e,final,4,284,287,11360,11480,0.82,vowel_hold
P002,2,21,48,cheng,ch,initial,2,288,288,11520,11520,0.62,soft_consonant
P002,2,21,48,cheng,eng,final,4,289,291,11560,11640,0.82,vowel_hold
P002,2,22,49,de,d,initial,2,292,292,11680,11680,0.62,soft_consonant
P002,2,22,49,de,e,final,4,293,295,11720,11800,0.82,vowel_hold
P002,2,23,50,xu,x,initial,5,296,296,11840,11840,0.72,soft_consonant
P002,2,23,50,xu,u,final,3,297,299,11880,11960,0.82,vowel_hold
P002,2,24,51,qiu,iu,final,5,300,303,12000,12120,0.72,vowel_hold
P002,3,0,52,sheng,sh,initial,2,313,314,12520,12560,0.62,soft_consonant
P002,3,0,52,sheng,eng,final,4,315,320,12600,12800,0.82,vowel_hold
P002,3,1,53,cheng,ch,initial,2,321,322,12840,12880,0.62,soft_consonant
P002,3,1,53,cheng,eng,final,4,323,328,12920,13120,0.82,vowel_hold
P002,3,2,54,bi,b,initial,0,329,331,13160,13240,1.0,closure
P002,3,2,54,bi,i,final,5,332,336,13280,13440,0.82,vowel_hold
P002,3,3,55,zhen,zh,initial,2,337,338,13480,13520,0.62,soft_consonant
P002,3,3,55,zhen,en,final,4,339,344,13560,13760,0.82,vowel_hold
P002,3,4,56,qie,q,initial,5,345,346,13800,13840,0.72,soft_consonant
P002,3,4,56,qie,ie,final,4,347,352,13880,14080,0.72,vowel_hold
P002,3,5,57,yu,y,initial,5,353,354,14120,14160,0.72,soft_consonant
P002,3,5,57,yu,u,final,3,355,359,14200,14360,0.82,vowel_hold
P002,3,6,58,yu,y,initial,5,360,361,14400,14440,0.72,soft_consonant
P002,3,6,58,yu,u,final,3,362,366,14480,14640,0.82,vowel_hold
P002,3,7,59,yin,in,final,5,367,373,14680,14920,0.72,vowel_hold
P002,3,8,60,tong,t,initial,2,374,375,14960,15000,0.62,soft_consonant
P002,3,8,60,tong,ong,final,6,376,380,15040,15200,0.82,vowel_hold
P002,3,9,61,bu,b,initial,0,381,383,15240,15320,1.0,closure
P002,3,9,61,bu,u,final,3,384,387,15360,15480,0.82,vowel_hold
P002,3,10,62,de,d,initial,2,388,389,15520,15560,0.62,soft_consonant
P002,3,10,62,de,e,final,4,390,394,15600,15760,0.82,vowel_hold
P002,3,11,63,ji,i,final,5,395,401,15800,16040,0.82,vowel_hold
P002,3,12,64,qi,i,final,5,402,408,16080,16320,0.82,vowel_hold
P002,3,13,65,ren,r,initial,2,409,410,16360,16400,0.62,soft_consonant
P002,3,13,65,ren,en,final,4,411,415,16440,16600,0.82,vowel_hold
P002,3,14,66,biao,b,initial,0,416,418,16640,16720,1.0,closure
P002,3,14,66,biao,iao,final,6,419,422,16760,16880,0.72,vowel_hold
P002,3,15,67,qing,q,initial,5,423,424,16920,16960,0.72,soft_consonant
P002,3,15,67,qing,ing,final,4,425,429,17000,17160,0.82,vowel_hold
P002,3,16,68,mian,m,initial,0,430,432,17200,17280,1.0,closure
P002,3,16,68,mian,ian,final,7,433,436,17320,17440,0.82,vowel_hold
P002,3,17,69,lin,in,final,2,437,443,17480,17720,0.72,vowel_hold
P002,3,18,70,zhe,zh,initial,2,444,445,17760,17800,0.62,soft_consonant
P002,3,18,70,zhe,e,final,4,446,450,17840,18000,0.82,vowel_hold
P002,3,19,71,ju,j,initial,5,451,452,18040,18080,0.72,soft_consonant
P002,3,19,71,ju,u,final,3,453,457,18120,18280,0.82,vowel_hold
P002,3,20,72,da,d,initial,2,458,459,18320,18360,0.62,soft_consonant
P002,3,20,72,da,a,final,7,460,464,18400,18560,0.82,vowel_hold
P002,3,21,73,de,d,initial,2,465,466,18600,18640,0.62,soft_consonant
P002,3,21,73,de,e,final,4,467,471,18680,18840,0.82,vowel_hold
P002,3,22,74,tiao,t,initial,2,472,473,18880,18920,0.62,soft_consonant
P002,3,22,74,tiao,iao,final,6,474,478,18960,19120,0.72,vowel_hold
P002,3,23,75,zhan,zh,initial,2,479,480,19160,19200,0.62,soft_consonant
P002,3,23,75,zhan,an,final,7,481,485,19240,19400,0.82,vowel_hold
P002,4,0,76,ben,b,initial,0,496,498,19840,19920,1.0,closure
P002,4,0,76,ben,en,final,4,499,502,19960,20080,0.82,vowel_hold
P002,4,1,77,wen,w,initial,3,503,504,20120,20160,0.72,soft_consonant
P002,4,1,77,wen,en,final,4,505,509,20200,20360,0.82,vowel_hold
P002,4,2,78,ti,t,initial,2,510,511,20400,20440,0.62,soft_consonant
P002,4,2,78,ti,i,final,5,512,516,20480,20640,0.82,vowel_hold
P002,4,3,79,chu,ch,initial,2,517,518,20680,20720,0.62,soft_consonant
P002,4,3,79,chu,u,final,3,519,523,20760,20920,0.82,vowel_hold
P002,4,4,80,le,l,initial,2,524,525,20960,21000,0.62,soft_consonant
P002,4,4,80,le,e,final,4,526,530,21040,21200,0.82,vowel_hold
P002,4,5,81,yi,i,final,5,531,537,21240,21480,0.82,vowel_hold
P002,4,6,82,zhong,zh,initial,2,538,539,21520,21560,0.62,soft_consonant
P002,4,6,82,zhong,ong,final,6,540,544,21600,21760,0.82,vowel_hold
P002,4,7,83,yi,i,final,5,545,551,21800,22040,0.82,vowel_hold
P002,4,8,84,meng,m,initial,0,552,554,22080,22160,1.0,closure
P002,4,8,84,meng,eng,final,4,555,558,22200,22320,0.82,vowel_hold
P002,4,9,85,pi,p,initial,0,559,561,22360,22440,1.0,closure
P002,4,9,85,pi,i,final,5,562,565,22480,22600,0.82,vowel_hold
P002,4,10,86,wei,w,initial,3,566,567,22640,22680,0.72,soft_consonant
P002,4,10,86,wei,ei,final,5,568,572,22720,22880,0.82,vowel_hold
P002,4,11,87,zhong,zh,initial,2,573,573,22920,22920,0.62,soft_consonant
P002,4,11,87,zhong,ong,final,6,574,578,22960,23120,0.82,vowel_hold
P002,4,12,88,xin,in,final,5,579,584,23160,23360,0.72,vowel_hold
P002,4,13,89,de,d,initial,2,585,585,23400,23400,0.62,soft_consonant
P002,4,13,89,de,e,final,4,586,590,23440,23600,0.82,vowel_hold
P002,4,14,90,xin,in,final,5,591,596,23640,23840,0.72,vowel_hold
P002,4,15,91,fang,f,initial,1,597,598,23880,23920,1.0,labiodental
P002,4,15,91,fang,ang,final,7,599,602,23960,24080,0.82,vowel_hold
P002,4,16,92,fa,f,initial,1,603,604,24120,24160,1.0,labiodental
P002,4,16,92,fa,a,final,7,605,608,24200,24320,0.82,vowel_hold
P002,5,0,93,li,l,initial,2,614,614,24560,24560,0.62,soft_consonant
P002,5,0,93,li,i,final,5,615,619,24600,24760,0.82,vowel_hold
P002,5,1,94,yong,y,initial,5,620,620,24800,24800,0.72,soft_consonant
P002,5,1,94,yong,ong,final,6,621,625,24840,25000,0.82,vowel_hold
P002,5,2,95,yu,y,initial,5,626,626,25040,25040,0.72,soft_consonant
P002,5,2,95,yu,u,final,3,627,631,25080,25240,0.82,vowel_hold
P002,5,3,96,yin,in,final,5,632,637,25280,25480,0.72,vowel_hold
P002,5,4,97,shu,sh,initial,2,638,638,25520,25520,0.62,soft_consonant
P002,5,4,97,shu,u,final,3,639,643,25560,25720,0.82,vowel_hold
P002,5,5,98,ru,r,initial,2,644,644,25760,25760,0.62,soft_consonant
P002,5,5,98,ru,u,final,3,645,649,25800,25960,0.82,vowel_hold
P002,5,6,99,qu,q,initial,5,650,650,26000,26000,0.72,soft_consonant
P002,5,6,99,qu,u,final,3,651,655,26040,26200,0.82,vowel_hold
P002,5,7,100,dong,d,initial,2,656,656,26240,26240,0.62,soft_consonant
P002,5,7,100,dong,ong,final,6,657,661,26280,26440,0.82,vowel_hold
P002,5,8,101,fang,f,initial,1,662,663,26480,26520,1.0,labiodental
P002,5,8,101,fang,ang,final,7,664,667,26560,26680,0.82,vowel_hold
P002,5,9,102,zhen,zh,initial,2,668,668,26720,26720,0.62,soft_consonant
P002,5,9,102,zhen,en,final,4,669,672,26760,26880,0.82,vowel_hold
P002,5,10,103,ji,i,final,5,673,677,26920,27080,0.82,vowel_hold
P002,5,11,104,qi,i,final,5,678,682,27120,27280,0.82,vowel_hold
P002,5,12,105,ren,r,initial,2,683,683,27320,27320,0.62,soft_consonant
P002,5,12,105,ren,en,final,4,684,687,27360,27480,0.82,vowel_hold
P002,5,13,106,de,d,initial,2,688,688,27520,27520,0.62,soft_consonant
P002,5,13,106,de,e,final,4,689,692,27560,27680,0.82,vowel_hold
P002,5,14,107,mian,m,initial,0,693,694,27720,27760,1.0,closure
P002,5,14,107,mian,ian,final,7,695,697,27800,27880,0.82,vowel_hold
P002,5,15,108,bu,b,initial,0,698,699,27920,27960,1.0,closure
P002,5,15,108,bu,u,final,3,700,702,28000,28080,0.82,vowel_hold
P002,5,16,109,biao,b,initial,0,703,704,28120,28160,1.0,closure
P002,5,16,109,biao,iao,final,6,705,707,28200,28280,0.72,vowel_hold
P002,5,17,110,qing,q,initial,5,708,708,28320,28320,0.72,soft_consonant
P002,5,17,110,qing,ing,final,4,709,712,28360,28480,0.82,vowel_hold
P002,6,0,111,gai,g,initial,4,719,720,28760,28800,0.72,soft_consonant
P002,6,0,111,gai,ai,final,5,721,725,28840,29000,0.82,vowel_hold
P002,6,1,112,fang,f,initial,1,726,727,29040,29080,1.0,labiodental
P002,6,1,112,fang,ang,final,7,728,732,29120,29280,0.82,vowel_hold
P002,6,2,113,fa,f,initial,1,733,734,29320,29360,1.0,labiodental
P002,6,2,113,fa,a,final,7,735,739,29400,29560,0.82,vowel_hold
P002,6,3,114,de,d,initial,2,740,741,29600,29640,0.62,soft_consonant
P002,6,3,114,de,e,final,4,742,746,29680,29840,0.82,vowel_hold
P002,6,4,115,he,e,final,4,747,753,29880,30120,0.82,vowel_hold
P002,6,5,116,xin,in,final,5,754,760,30160,30400,0.72,vowel_hold
P002,6,6,117,shi,sh,initial,2,761,762,30440,30480,0.62,soft_consonant
P002,6,6,117,shi,i,final,5,763,767,30520,30680,0.82,vowel_hold
P002,6,7,118,cai,ai,final,5,768,774,30720,30960,0.82,vowel_hold
P002,6,8,119,yong,y,initial,5,775,776,31000,31040,0.72,soft_consonant
P002,6,8,119,yong,ong,final,6,777,781,31080,31240,0.82,vowel_hold
P002,6,9,120,xian,x,initial,5,782,783,31280,31320,0.72,soft_consonant
P002,6,9,120,xian,ian,final,7,784,788,31360,31520,0.82,vowel_hold
P002,6,10,121,xing,x,initial,5,789,790,31560,31600,0.72,soft_consonant
P002,6,10,121,xing,ing,final,4,791,795,31640,31800,0.82,vowel_hold
P002,6,11,122,hun,h,initial,4,796,796,31840,31840,0.72,soft_consonant
P002,6,11,122,hun,un,final,3,797,801,31880,32040,0.72,vowel_hold
P002,6,12,123,he,e,final,4,802,807,32080,32280,0.82,vowel_hold
P002,6,13,124,meng,m,initial,0,808,809,32320,32360,1.0,closure
P002,6,13,124,meng,eng,final,4,810,813,32400,32520,0.82,vowel_hold
P002,6,14,125,pi,p,initial,0,814,815,32560,32600,1.0,closure
P002,6,14,125,pi,i,final,5,816,819,32640,32760,0.82,vowel_hold
P002,6,15,126,zuo,z,initial,5,820,820,32800,32800,0.62,soft_consonant
P002,6,15,126,zuo,uo,final,6,821,825,32840,33000,0.82,vowel_hold
P002,6,16,127,wei,w,initial,3,826,826,33040,33040,0.72,soft_consonant
P002,6,16,127,wei,ei,final,5,827,831,33080,33240,0.82,vowel_hold
P002,6,17,128,tong,t,initial,2,832,832,33280,33280,0.62,soft_consonant
P002,6,17,128,tong,ong,final,6,833,837,33320,33480,0.82,vowel_hold
P002,6,18,129,yi,i,final,5,838,843,33520,33720,0.82,vowel_hold
P002,6,19,130,de,d,initial,2,844,844,33760,33760,0.62,soft_consonant
P002,6,19,130,de,e,final,4,845,849,33800,33960,0.82,vowel_hold
P002,6,20,131,biao,b,initial,0,850,851,34000,34040,1.0,closure
P002,6,20,131,biao,iao,final,6,852,855,34080,34200,0.72,vowel_hold
P002,6,21,132,shi,sh,initial,2,856,856,34240,34240,0.62,soft_consonant
P002,6,21,132,shi,i,final,5,857,861,34280,34440,0.82,vowel_hold
P002,6,22,133,fang,f,initial,1,862,863,34480,34520,1.0,labiodental
P002,6,22,133,fang,ang,final,7,864,867,34560,34680,0.82,vowel_hold
P002,6,23,134,fa,f,initial,1,868,869,34720,34760,1.0,labiodental
P002,6,23,134,fa,a,final,7,870,873,34800,34920,0.82,vowel_hold
P002,7,0,135,cong,c,initial,5,888,888,35520,35520,0.62,soft_consonant
P002,7,0,135,cong,ong,final,6,889,892,35560,35680,0.82,vowel_hold
P002,7,1,136,er,er,final,4,893,897,35720,35880,0.72,vowel_hold
P002,7,2,137,zhi,zh,initial,2,898,898,35920,35920,0.62,soft_consonant
P002,7,2,137,zhi,i,final,5,899,902,35960,36080,0.82,vowel_hold
P002,7,3,138,dao,d,initial,2,903,903,36120,36120,0.62,soft_consonant
P002,7,3,138,dao,ao,final,6,904,907,36160,36280,0.82,vowel_hold
P002,7,4,139,shi,sh,initial,2,908,908,36320,36320,0.62,soft_consonant
P002,7,4,139,shi,i,final,5,909,912,36360,36480,0.82,vowel_hold
P002,7,5,140,ti,t,initial,2,913,913,36520,36520,0.62,soft_consonant
P002,7,5,140,ti,i,final,5,914,917,36560,36680,0.82,vowel_hold
P002,7,6,141,she,sh,initial,2,918,918,36720,36720,0.62,soft_consonant
P002,7,6,141,she,e,final,4,919,922,36760,36880,0.82,vowel_hold
P002,7,7,142,ji,i,final,5,923,927,36920,37080,0.82,vowel_hold
P002,7,8,143,he,e,final,4,928,932,37120,37280,0.82,vowel_hold
P002,7,9,144,yun,y,initial,5,933,933,37320,37320,0.72,soft_consonant
P002,7,9,144,yun,un,final,3,934,937,37360,37480,0.72,vowel_hold
P002,7,10,145,dong,d,initial,2,938,938,37520,37520,0.62,soft_consonant
P002,7,10,145,dong,ong,final,6,939,942,37560,37680,0.82,vowel_hold
P002,7,11,146,he,e,final,4,943,947,37720,37880,0.82,vowel_hold
P002,7,12,147,cheng,ch,initial,2,948,948,37920,37920,0.62,soft_consonant
P002,7,12,147,cheng,eng,final,4,949,952,37960,38080,0.82,vowel_hold
P002,7,13,148,fang,f,initial,1,953,954,38120,38160,1.0,labiodental
P002,7,13,148,fang,ang,final,7,955,957,38200,38280,0.82,vowel_hold
P002,7,14,149,mian,m,initial,0,958,959,38320,38360,1.0,closure
P002,7,14,149,mian,ian,final,7,960,962,38400,38480,0.82,vowel_hold
P002,7,15,150,de,d,initial,2,963,963,38520,38520,0.62,soft_consonant
P002,7,15,150,de,e,final,4,964,967,38560,38680,0.82,vowel_hold
P002,7,16,151,chuang,ch,initial,2,968,968,38720,38720,0.62,soft_consonant
P002,7,16,151,chuang,uang,final,7,969,972,38760,38880,0.82,vowel_hold
P002,7,17,152,xin,in,final,5,973,977,38920,39080,0.72,vowel_hold
P002,8,0,153,neng,n,initial,2,1009,1010,40360,40400,0.62,soft_consonant
P002,8,0,153,neng,eng,final,4,1011,1015,40440,40600,0.82,vowel_hold
P002,8,1,154,gou,g,initial,4,1016,1017,40640,40680,0.72,soft_consonant
P002,8,1,154,gou,ou,final,6,1018,1022,40720,40880,0.82,vowel_hold
P002,8,2,155,zhi,zh,initial,2,1023,1024,40920,40960,0.62,soft_consonant
P002,8,2,155,zhi,i,final,5,1025,1029,41000,41160,0.82,vowel_hold
P002,8,3,156,dao,d,initial,2,1030,1031,41200,41240,0.62,soft_consonant
P002,8,3,156,dao,ao,final,6,1032,1036,41280,41440,0.82,vowel_hold
P002,8,4,157,qu,q,initial,5,1037,1038,41480,41520,0.72,soft_consonant
P002,8,4,157,qu,u,final,3,1039,1043,41560,41720,0.82,vowel_hold
P002,8,5,158,dong,d,initial,2,1044,1045,41760,41800,0.62,soft_consonant
P002,8,5,158,dong,ong,final,6,1046,1050,41840,42000,0.82,vowel_hold
P002,8,6,159,tuo,t,initial,2,1051,1052,42040,42080,0.62,soft_consonant
P002,8,6,159,tuo,uo,final,6,1053,1057,42120,42280,0.82,vowel_hold
P002,8,7,160,pu,p,initial,0,1058,1060,42320,42400,1.0,closure
P002,8,7,160,pu,u,final,3,1061,1064,42440,42560,0.82,vowel_hold
P002,8,8,161,jie,j,initial,5,1065,1066,42600,42640,0.72,soft_consonant
P002,8,8,161,jie,ie,final,4,1067,1071,42680,42840,0.72,vowel_hold
P002,8,9,162,gou,g,initial,4,1072,1073,42880,42920,0.72,soft_consonant
P002,8,9,162,gou,ou,final,6,1074,1078,42960,43120,0.82,vowel_hold
P002,9,0,163,cu,c,initial,5,1093,1093,43720,43720,0.62,soft_consonant
P002,9,0,163,cu,u,final,3,1094,1098,43760,43920,0.82,vowel_hold
P002,9,1,164,jin,in,final,5,1099,1104,43960,44160,0.72,vowel_hold
P002,9,2,165,ren,r,initial,2,1105,1105,44200,44200,0.62,soft_consonant
P002,9,2,165,ren,en,final,4,1106,1110,44240,44400,0.82,vowel_hold
P002,9,3,166,lei,l,initial,2,1111,1111,44440,44440,0.62,soft_consonant
P002,9,3,166,lei,ei,final,5,1112,1115,44480,44600,0.82,vowel_hold
P002,9,4,167,biao,b,initial,0,1116,1117,44640,44680,1.0,closure
P002,9,4,167,biao,iao,final,6,1118,1120,44720,44800,0.72,vowel_hold
P002,9,5,168,qing,q,initial,5,1121,1121,44840,44840,0.72,soft_consonant
P002,9,5,168,qing,ing,final,4,1122,1125,44880,45000,0.82,vowel_hold
P002,9,6,169,de,d,initial,2,1126,1126,45040,45040,0.62,soft_consonant
P002,9,6,169,de,e,final,4,1127,1130,45080,45200,0.82,vowel_hold
P002,9,7,170,zhong,zh,initial,2,1131,1131,45240,45240,0.62,soft_consonant
P002,9,7,170,zhong,ong,final,6,1132,1135,45280,45400,0.82,vowel_hold
P002,9,8,171,ding,d,initial,2,1136,1136,45440,45440,0.62,soft_consonant
P002,9,8,171,ding,ing,final,4,1137,1140,45480,45600,0.82,vowel_hold
P002,9,9,172,xiang,x,initial,5,1141,1141,45640,45640,0.72,soft_consonant
P002,9,9,172,xiang,iang,final,7,1142,1145,45680,45800,0.82,vowel_hold
P002,10,0,173,bing,b,initial,0,1161,1162,46440,46480,1.0,closure
P002,10,0,173,bing,ing,final,4,1163,1166,46520,46640,0.82,vowel_hold
P002,10,1,174,shi,sh,initial,2,1167,1167,46680,46680,0.62,soft_consonant
P002,10,1,174,shi,i,final,5,1168,1172,46720,46880,0.82,vowel_hold
P002,10,2,175,xian,x,initial,5,1173,1173,46920,46920,0.72,soft_consonant
P002,10,2,175,xian,ian,final,7,1174,1178,46960,47120,0.82,vowel_hold
P002,10,3,176,gao,g,initial,4,1179,1179,47160,47160,0.72,soft_consonant
P002,10,3,176,gao,ao,final,6,1180,1183,47200,47320,0.82,vowel_hold
P002,10,4,177,xiao,x,initial,5,1184,1184,47360,47360,0.72,soft_consonant
P002,10,4,177,xiao,iao,final,6,1185,1188,47400,47520,0.72,vowel_hold
P002,10,5,178,de,d,initial,2,1189,1189,47560,47560,0.62,soft_consonant
P002,10,5,178,de,e,final,4,1190,1193,47600,47720,0.82,vowel_hold
P002,10,6,179,yu,y,initial,5,1194,1194,47760,47760,0.72,soft_consonant
P002,10,6,179,yu,u,final,3,1195,1198,47800,47920,0.82,vowel_hold
P002,10,7,180,yin,in,final,5,1199,1203,47960,48120,0.72,vowel_hold
P002,10,8,181,qu,q,initial,5,1204,1204,48160,48160,0.72,soft_consonant
P002,10,8,181,qu,u,final,3,1205,1208,48200,48320,0.82,vowel_hold
P002,10,9,182,dong,d,initial,2,1209,1209,48360,48360,0.62,soft_consonant
P002,10,9,182,dong,ong,final,6,1210,1213,48400,48520,0.82,vowel_hold
P002,10,10,183,mian,m,initial,0,1214,1215,48560,48600,1.0,closure
P002,10,10,183,mian,ian,final,7,1216,1218,48640,48720,0.82,vowel_hold
P002,10,11,184,bu,b,initial,0,1219,1220,48760,48800,1.0,closure
P002,10,11,184,bu,u,final,3,1221,1223,48840,48920,0.82,vowel_hold
P002,10,12,185,yun,y,initial,5,1224,1224,48960,48960,0.72,soft_consonant
P002,10,12,185,yun,un,final,3,1225,1228,49000,49120,0.72,vowel_hold
P002,10,13,186,dong,d,initial,2,1229,1229,49160,49160,0.62,soft_consonant
P002,10,13,186,dong,ong,final,6,1230,1233,49200,49320,0.82,vowel_hold
P002,10,14,187,sheng,sh,initial,2,1234,1234,49360,49360,0.62,soft_consonant
P002,10,14,187,sheng,eng,final,4,1235,1238,49400,49520,0.82,vowel_hold
P002,10,15,188,cheng,ch,initial,2,1239,1239,49560,49560,0.62,soft_consonant
P002,10,15,188,cheng,eng,final,4,1240,1243,49600,49720,0.82,vowel_hold
