paragraph_id,phrase_idx,syllable_idx,global_syllable_idx,syllable,phone_idx,phone,phone_role,viseme_id,start_frame,end_frame,start_time_ms,end_time_ms,duration_weight,raw_viseme_id,source
P002,12,10,226,xi,0,sapi_viseme_7,tts_viseme,3,1559,1561,62360,62440,3,7,tts_viseme
P002,12,11,227,wei,0,sapi_viseme_20,tts_viseme,4,1562,1564,62480,62560,3,20,tts_viseme
P002,12,11,227,wei,1,sapi_viseme_19,tts_viseme,2,1565,1565,62600,62600,1.0,19,tts_viseme
P002,12,11,227,wei,2,sapi_viseme_6,tts_viseme,5,1565,1566,62600,62640,2,6,tts_viseme
P002,12,11,227,wei,3,sapi_viseme_1,tts_viseme,4,1566,1568,62640,62720,3,1,tts_viseme
P002,12,12,228,ren,0,sapi_viseme_20,tts_viseme,4,1569,1571,62760,62840,3,20,tts_viseme
P002,12,12,228,ren,1,sapi_viseme_16,tts_viseme,2,1571,1572,62840,62880,2,16,tts_viseme
P002,12,12,228,ren,2,sapi_viseme_6,tts_viseme,5,1571,1574,62840,62960,4,6,tts_viseme
P002,12,13,229,lei,0,sapi_viseme_2,tts_viseme,7,1574,1577,62960,63080,4,2,tts_viseme
P002,12,13,229,lei,1,sapi_viseme_20,tts_viseme,4,1578,1582,63120,63280,5,20,tts_viseme
P002,12,14,230,biao,0,iao,final,6,1582,1585,63280,63400,4,0,tts_viseme_fallback_estimated
P002,12,15,231,qing,0,q,initial,5,1586,1587,63440,63480,2,0,tts_viseme_fallback_estimated
P002,12,15,231,qing,1,ing,final,4,1588,1591,63520,63640,4,0,tts_viseme_fallback_estimated
P002,12,16,232,yi,0,y,initial,5,1592,1593,63680,63720,2,0,tts_viseme_fallback_estimated
P002,12,16,232,yi,1,i,final,5,1594,1596,63760,63840,3,0,tts_viseme_fallback_estimated
P002,12,16,232,yi,2,sapi_viseme_21,tts_viseme,0,1596,1597,63840,63880,2,21,tts_viseme
P002,12,16,232,yi,3,sapi_viseme_6,tts_viseme,5,1596,1598,63840,63920,3,6,tts_viseme
P002,12,17,233,shi,0,sapi_viseme_1,tts_viseme,4,1599,1601,63960,64040,3,1,tts_viseme
