time_ms,audio_time_ms,frame_id,mouth_open_target,mouth_up_corner_l_target,mouth_up_corner_r_target,mouth_lip_upper_l_target,mouth_lip_upper_r_target,mouth_lip_lower_target,send_success
15.054,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
40.738,40.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
80.559,80.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1
121.12,120.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1
161.055,160.0,4,0.0,-0.075,-0.075,0.14,0.14,-0.14,1
201.524,200.0,5,0.0,-0.09375,-0.09375,0.28,0.28,-0.28,1
241.255,240.0,6,0.0,-0.098438,-0.098438,0.385,0.385,-0.3325,1
281.762,280.0,7,0.0,-0.099609,-0.099609,0.41125,0.41125,-0.345625,1
321.484,320.0,8,0.0,-0.074903,-0.074903,0.312813,0.312813,-0.261406,1
360.8,360.0,9,0.0,-0.043725,-0.043725,0.183203,0.183203,-0.152852,1
401.161,400.0,10,0.0,-0.010931,-0.010931,0.045801,0.045801,-0.038213,1
441.082,440.0,11,0.14,0.129069,0.129069,-0.059732,-0.059732,0.101787,1
480.96,480.0,12,0.242511,0.196845,0.196845,-0.086488,-0.086488,0.211491,1
521.016,520.0,13,0.259288,0.20677,0.20677,-0.090126,-0.090126,0.230983,1
560.892,560.0,14,0.213818,0.169862,0.169862,-0.073909,-0.073909,0.191328,1
601.212,600.0,15,0.152785,0.121245,0.121245,-0.052729,-0.052729,0.136887,1
641.719,640.0,16,0.087861,0.069701,0.069701,-0.030308,-0.030308,0.078749,1
680.75,680.0,17,0.021965,0.017425,0.017425,-0.007577,-0.007577,0.019687,1
721.17,720.0,18,0.005491,0.004356,0.004356,-0.001894,-0.001894,0.004922,1
760.708,760.0,19,0.001373,0.001089,0.001089,-0.000474,-0.000474,0.00123,1
800.962,800.0,20,0.000343,0.000272,0.000272,-0.000118,-0.000118,0.000308,1
840.753,840.0,21,8.6e-05,6.8e-05,6.8e-05,-3e-05,-3e-05,7.7e-05,1
881.308,880.0,22,2.1e-05,1.7e-05,1.7e-05,-7e-06,-7e-06,1.9e-05,1
921.403,920.0,23,5e-06,4e-06,4e-06,-2e-06,-2e-06,5e-06,1
961.432,960.0,24,1e-06,1e-06,1e-06,-0.0,-0.0,1e-06,1
1001.51,1000.0,25,0.112346,0.140001,0.140001,0.14,0.14,0.04213,1
1041.084,1040.0,26,0.1214,1e-06,1e-06,0.049356,0.049356,0.053601,1
1080.984,1080.0,27,0.130703,0.015894,0.015894,0.120154,0.120154,0.055528,1
1121.199,1120.0,28,0.10794,0.015894,0.015894,0.1109,0.1109,0.045478,1
1161.208,1160.0,29,0.077162,0.011921,0.011921,0.081633,0.081633,0.032434,1
1201.356,1200.0,30,0.044379,0.006954,0.006954,0.047362,0.047362,0.018641,1
1241.27,1240.0,31,0.011095,0.001738,0.001738,0.01184,0.01184,0.00466,1
1281.377,1280.0,32,0.112457,0.141738,0.141738,0.15184,0.15184,0.042297,1
1321.279,1320.0,33,0.142023,0.270371,0.270371,0.272897,0.272897,0.05329,1
1360.802,1360.0,34,0.146681,0.296893,0.296893,0.297524,0.297524,0.055013,1
1400.614,1400.0,35,0.150703,0.309416,0.309416,0.309574,0.309574,0.056516,1
1441.508,1440.0,36,0.199501,0.292306,0.292306,0.185838,0.185838,0.12363,1
