segment_idx,start_frame,end_frame,start_time_ms,end_time_ms
0,3,23,120,920
1,30,35,1200,1400
2,48,50,1920,2000
3,54,62,2160,2480
4,70,77,2800,3080
5,86,93,3440,3720
6,98,99,3920,3960
7,110,117,4400,4680
